location,Rheumatoid arthritis_val_DALYs (Disability-Adjusted Life Years),Osteoarthritis_val_DALYs (Disability-Adjusted Life Years),Low back pain_val_DALYs (Disability-Adjusted Life Years),Neck pain_val_DALYs (Disability-Adjusted Life Years),Low back pain_val_Prevalence,Osteoarthritis_val_Prevalence,Rheumatoid arthritis_val_Prevalence,Neck pain_val_Prevalence,Rheumatoid arthritis_val_Incidence,Low back pain_val_Incidence,Osteoarthritis_val_Incidence,Neck pain_val_Incidence,Rheumatoid arthritis_val_Deaths,Migraine_val_DALYs (Disability-Adjusted Life Years),Migraine_val_Incidence,co2_emissions,waste
Afghanistan,0.0001793590737922,0.0010507324760112,0.011196196159021,0.0040579036556435,,,,,6.9203919424e-06,0.0059485704119643,0.0004440630702254,0.0011636620352122,0.0001258094113024,0.0093580513328018,0.0032976848390198,0.0,623578.6843413818
Albania,0.000972889051287,0.0092914101902337,0.0538316491575409,0.0080708861699129,0.1730714413607484,0.0960634790965717,0.0022395741045511,0.0293589710535165,2.53357982312e-05,0.0163415935546447,0.001643712210495,0.0014310812454763,,,,0.0,1221424.5255065265
Algeria,0.0004334045733891,0.0067437524066695,0.031785268206836,0.0128190616196817,,,,,1.03087977082e-05,0.0087575405839987,0.0012124601030395,0.0017714197219328,9.705289089539346e-05,0.0212953654026952,0.00319747442212,82039.2669391968,13565142.051794602
Andorra,0.0012700594698567,0.0162097313682789,0.0525371449616319,0.0149703594455778,0.1336424139898164,0.1305703776210787,0.0026291987810812,0.043197725285981,2.66895361532e-05,0.0126042006295705,0.0022004588976276,0.0013731654666871,,,,0.0,64952.88926184731
Armenia,0.0006424705203846,0.010110350635315,0.0400557763639072,0.0079186718937695,,,,,1.589463986e-05,0.0127175979317629,0.0016577629470572,0.0013884385759438,0.0001505887508597,0.0158238657560039,0.0025726124769654,0.0,280181.02918271447
Austria,0.0020995893458863,0.0151308244275917,0.0413251810134319,0.0160247831325299,0.1188472488321338,0.1360574640124424,0.0044182935294182,0.0519871104579187,4.97055931366e-05,0.0116594496872019,0.0020884472386513,0.0015546055758863,,,,1329102.3303171375,1426972.7771007
Azerbaijan,0.0003830816599219,0.0074159667533151,0.0321713256354114,0.0074141586675045,,,,,1.2688134395e-05,0.0115965554337454,0.0016079782824772,0.0014518792164108,1.0297194030841729e-05,0.015807996248948,0.0030291303891416,459857.40448103304,1790329.6565123603
Bahrain,0.0013105528197632,0.0075013875789931,0.0380994387271215,0.0146493302768338,,,,,2.95380894828e-05,0.0086602830425398,0.001322736686215,0.0017290398702374,0.0002524857973487,0.0260740055303462,0.0029126183701639,0.0,564021.6581290909
Belarus,0.000494369158007,0.0090701839921156,0.0326164236311322,0.0056965305755426,,,,,1.71816570143e-05,0.0136742265475724,0.0019682165477598,0.001334245612229,2.0288496469128496e-05,0.0115264638847532,0.0020602681083814,2865768.366985641,4293954.70922059
Belgium,0.0020583125316697,0.0148079165870964,0.046561549792289,0.0124737447627706,0.1366690656866022,0.1358826824958676,0.0043006099475037,0.041335882570834,4.90808086429e-05,0.0124275671421544,0.0019692394027485,0.0012964728710316,,,,2328068.0096597276,663155.59509245
